    PID TTY          TIME CMD
   1258 ?        00:00:00 systemd
   1259 ?        00:00:00 (sd-pam)
   1269 ?        00:00:00 pipewire
   1270 ?        00:00:00 pipewire
   1272 ?        00:00:00 wireplumber
   1273 ?        00:00:00 pipewire-pulse
   1274 ?        00:00:00 gnome-keyring-d
   1279 ?        00:00:00 dbus-daemon
   1303 ?        00:00:00 xfce4-session
   1436 ?        00:00:00 VBoxClient
   1438 ?        00:00:00 VBoxClient
   1444 ?        00:00:00 VBoxClient
   1446 ?        00:00:02 VBoxClient
   1452 ?        00:00:00 VBoxClient
   1455 ?        00:00:08 VBoxClient
   1468 ?        00:00:00 VBoxClient
   1470 ?        00:00:00 VBoxClient
   1562 ?        00:00:00 gvfsd
   1568 ?        00:00:00 gvfsd-fuse
   1575 ?        00:00:00 at-spi-bus-laun
   1584 ?        00:00:00 dbus-daemon
   1586 ?        00:00:00 xfconfd
   1592 ?        00:00:00 at-spi2-registr
   1600 ?        00:00:00 ssh-agent
   1609 ?        00:00:00 gpg-agent
   1612 ?        00:00:11 xfwm4
   1622 ?        00:00:00 xfsettingsd
   1629 ?        00:00:06 xfce4-panel
   1634 ?        00:00:12 Thunar
   1640 ?        00:00:03 xfdesktop
   1644 ?        00:00:00 panel-1-whisker
   1645 ?        00:00:00 panel-8-systray
   1646 ?        00:00:00 panel-9-notific
   1647 ?        00:00:00 panel-10-xapp-s
   1651 ?        00:00:00 panel-11-power-
   1652 ?        00:00:00 panel-12-pulsea
   1674 ?        00:00:00 xfce4-notifyd
   1692 ?        00:00:00 evolution-alarm
   1695 ?        00:00:00 polkit-gnome-au
   1699 ?        00:00:00 xfce4-power-man
   1702 ?        00:00:00 light-locker
   1712 ?        00:00:00 nm-applet
   1713 ?        00:00:04 mintreport-tray
   1718 ?        00:00:00 gvfs-udisks2-vo
   1733 ?        00:00:00 agent
   1736 ?        00:00:00 gvfs-gphoto2-vo
   1737 ?        00:00:00 applet.py
   1744 ?        00:00:00 gvfs-mtp-volume
   1751 ?        00:00:00 gvfs-afc-volume
   1758 ?        00:00:00 blueman-applet
   1759 ?        00:00:00 gvfs-goa-volume
   1766 ?        00:00:00 goa-daemon
   1767 ?        00:00:00 dconf-service
   1782 ?        00:00:00 goa-identity-se
   1794 ?        00:00:00 xiccd
   1911 ?        00:00:00 evolution-sourc
   1931 ?        00:00:00 evolution-calen
   1943 ?        00:00:00 evolution-addre
   1967 ?        00:00:00 obexd
   1969 ?        00:00:00 mintUpdate
   2033 ?        00:00:00 gvfsd-metadata
   2037 ?        00:00:00 gvfsd-trash
   2097 ?        00:00:02 xfce4-terminal
   2103 pts/0    00:00:01 zsh
   2213 ?        00:00:00 tumblerd
   3167 ?        00:00:12 xed
   3268 ?        00:00:00 gvfsd-computer
   3308 ?        00:00:00 gvfsd-recent
   3509 pts/0    00:00:00 sleep
   3521 pts/0    00:00:00 ps
